,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2019-12-30,12,2019-12-30,24.691666666666666,19.166666666666668,51.333333333333336,938.2583333333333,199.75,2.441666666666667,348.1666666666667,182.08333333333334,389.1666666666667
2019-12-31,12,2019-12-31,23.28333333333333,12.133333333333333,45.75,939.0916666666667,273.8333333333333,2.9333333333333336,568.0833333333334,116.91666666666667,442.6666666666667
2020-01-01,1,2020-01-01,23.691666666666666,15.466666666666667,40.25,939.6999999999999,200.75,2.766666666666667,660.0,88.83333333333333,453.4166666666667
2020-01-02,1,2020-01-02,23.708333333333332,19.258333333333333,46.0,941.4,185.25,2.9583333333333335,596.8333333333334,106.5,440.9166666666667
2020-01-03,1,2020-01-03,22.400000000000002,14.408333333333333,49.416666666666664,940.8166666666666,178.83333333333334,0.9166666666666666,498.25,133.66666666666666,432.3333333333333
2020-01-04,1,2020-01-04,22.366666666666664,14.208333333333334,50.416666666666664,939.0916666666667,109.75,1.4166666666666667,272.4166666666667,222.58333333333334,379.5833333333333
2020-01-05,1,2020-01-05,22.05,16.733333333333334,57.083333333333336,939.9499999999999,100.25,4.291666666666667,344.0,182.58333333333334,397.5833333333333
2020-01-06,1,2020-01-06,22.683333333333334,21.258333333333333,61.083333333333336,941.6416666666668,125.5,4.6000000000000005,242.58333333333334,218.25,374.6666666666667
2020-01-07,1,2020-01-07,25.733333333333334,23.941666666666666,52.166666666666664,939.9083333333333,165.0,2.841666666666667,151.0,245.41666666666666,334.3333333333333
2020-01-08,1,2020-01-08,24.941666666666666,24.275000000000002,54.5,939.15,262.4166666666667,4.141666666666667,266.3333333333333,222.83333333333334,368.8333333333333
2020-01-09,1,2020-01-09,22.53333333333333,17.325,55.833333333333336,940.1666666666666,88.58333333333333,2.0,328.8333333333333,192.16666666666666,397.25
2020-01-10,1,2020-01-10,22.325,16.816666666666666,51.666666666666664,940.7916666666666,97.83333333333333,3.9499999999999997,217.33333333333334,193.5,331.75
2020-01-11,1,2020-01-11,23.383333333333336,19.683333333333334,54.166666666666664,941.5166666666668,107.33333333333333,3.6666666666666665,301.8333333333333,190.0,382.0
